year,city,my_city_avg_temp,global_average_temp
1856,Ibadan,26.92,8.00
1857,Ibadan,24.97,7.76
1858,Ibadan,25.93,8.10
1859,Ibadan,25.66,8.25
1860,Ibadan,25.77,7.96
1861,Ibadan,25.82,7.85
1862,Ibadan,26.81,7.56
1863,Ibadan,,8.11
1864,Ibadan,,7.98
1865,Ibadan,,8.18
1866,Ibadan,,8.29
1867,Ibadan,,8.44
1868,Ibadan,,8.25
1869,Ibadan,,8.43
1870,Ibadan,,8.20
1871,Ibadan,,8.12
1872,Ibadan,,8.19
1873,Ibadan,25.87,8.35
1874,Ibadan,25.98,8.43
1875,Ibadan,25.60,7.86
1876,Ibadan,25.98,8.08
1877,Ibadan,26.15,8.54
1878,Ibadan,26.10,8.83
1879,Ibadan,25.51,8.17
1880,Ibadan,25.91,8.12
1881,Ibadan,26.19,8.27
1882,Ibadan,25.82,8.13
1883,Ibadan,26.21,7.98
1884,Ibadan,26.23,7.77
1885,Ibadan,26.15,7.92
1886,Ibadan,25.63,7.95
1887,Ibadan,24.93,7.91
1888,Ibadan,25.28,8.09
1889,Ibadan,25.11,8.32
1890,Ibadan,24.63,7.97
1891,Ibadan,25.11,8.02
1892,Ibadan,25.34,8.07
1893,Ibadan,25.46,8.06
1894,Ibadan,25.46,8.16
1895,Ibadan,25.74,8.15
1896,Ibadan,25.69,8.21
1897,Ibadan,26.15,8.29
1898,Ibadan,25.63,8.18
1899,Ibadan,26.04,8.40
1900,Ibadan,26.19,8.50
1901,Ibadan,26.25,8.54
1902,Ibadan,25.89,8.30
1903,Ibadan,25.52,8.22
1904,Ibadan,25.23,8.09
1905,Ibadan,25.81,8.23
1906,Ibadan,26.02,8.38
1907,Ibadan,25.66,7.95
1908,Ibadan,25.88,8.19
1909,Ibadan,25.87,8.18
1910,Ibadan,26.13,8.22
1911,Ibadan,25.44,8.18
1912,Ibadan,25.55,8.17
1913,Ibadan,26.36,8.30
1914,Ibadan,26.61,8.59
1915,Ibadan,26.56,8.59
1916,Ibadan,26.25,8.23
1917,Ibadan,26.67,8.02
1918,Ibadan,26.16,8.13
1919,Ibadan,26.67,8.38
1920,Ibadan,26.38,8.36
1921,Ibadan,26.57,8.57
1922,Ibadan,26.44,8.41
1923,Ibadan,26.50,8.42
1924,Ibadan,26.70,8.51
1925,Ibadan,26.46,8.53
1926,Ibadan,26.85,8.73
1927,Ibadan,26.75,8.52
1928,Ibadan,26.63,8.63
1929,Ibadan,26.13,8.24
1930,Ibadan,26.69,8.63
1931,Ibadan,26.80,8.72
1932,Ibadan,26.35,8.71
1933,Ibadan,26.64,8.34
1934,Ibadan,26.62,8.63
1935,Ibadan,26.70,8.52
1936,Ibadan,26.51,8.55
1937,Ibadan,26.80,8.70
1938,Ibadan,26.68,8.86
1939,Ibadan,26.06,8.76
1940,Ibadan,26.66,8.76
1941,Ibadan,27.18,8.77
1942,Ibadan,26.83,8.73
1943,Ibadan,26.39,8.76
1944,Ibadan,26.83,8.85
1945,Ibadan,26.89,8.58
1946,Ibadan,26.50,8.68
1947,Ibadan,26.77,8.80
1948,Ibadan,26.36,8.75
1949,Ibadan,26.73,8.59
1950,Ibadan,26.42,8.37
1951,Ibadan,26.63,8.63
1952,Ibadan,26.46,8.64
1953,Ibadan,26.48,8.87
1954,Ibadan,26.14,8.56
1955,Ibadan,26.20,8.63
1956,Ibadan,26.14,8.28
1957,Ibadan,26.41,8.73
1958,Ibadan,26.50,8.77
1959,Ibadan,26.51,8.73
1960,Ibadan,26.43,8.58
1961,Ibadan,26.26,8.80
1962,Ibadan,26.31,8.75
1963,Ibadan,26.76,8.86
1964,Ibadan,26.28,8.41
1965,Ibadan,26.34,8.53
1966,Ibadan,26.52,8.60
1967,Ibadan,26.18,8.70
1968,Ibadan,26.47,8.52
1969,Ibadan,26.69,8.60
1970,Ibadan,26.70,8.70
1971,Ibadan,26.39,8.60
1972,Ibadan,26.55,8.50
1973,Ibadan,26.95,8.95
1974,Ibadan,26.14,8.47
1975,Ibadan,26.00,8.74
1976,Ibadan,26.24,8.35
1977,Ibadan,26.84,8.85
1978,Ibadan,26.50,8.69
1979,Ibadan,26.75,8.73
1980,Ibadan,26.62,8.98
1981,Ibadan,26.59,9.17
1982,Ibadan,26.47,8.64
1983,Ibadan,26.83,9.03
1984,Ibadan,26.70,8.69
1985,Ibadan,26.58,8.66
1986,Ibadan,26.45,8.83
1987,Ibadan,27.33,8.99
1988,Ibadan,26.74,9.20
1989,Ibadan,26.35,8.92
1990,Ibadan,26.88,9.23
1991,Ibadan,26.61,9.18
1992,Ibadan,26.49,8.84
1993,Ibadan,26.70,8.87
1994,Ibadan,26.60,9.04
1995,Ibadan,26.85,9.35
1996,Ibadan,26.77,9.04
1997,Ibadan,26.73,9.20
1998,Ibadan,27.36,9.52
1999,Ibadan,26.85,9.29
2000,Ibadan,26.75,9.20
2001,Ibadan,26.76,9.41
2002,Ibadan,26.98,9.57
2003,Ibadan,27.15,9.53
2004,Ibadan,27.11,9.32
2005,Ibadan,27.27,9.70
2006,Ibadan,27.38,9.53
2007,Ibadan,27.29,9.73
2008,Ibadan,27.07,9.43
2009,Ibadan,27.35,9.51
2010,Ibadan,27.56,9.70
2011,Ibadan,27.13,9.52
2012,Ibadan,27.00,9.51
2013,Ibadan,27.17,9.61
